label,reference,test,width,height,channels,mae,psnr_db
noisy-sigma10,experiments/results/moore_s4000_musa5.1/smoke/quality_script/smoke/quality_script/images/clean_64x64_3ch.png,experiments/results/moore_s4000_musa5.1/smoke/quality_script/smoke/quality_script/images/noisy_64x64_3ch_sigma10.png,64,64,3,4.992839,32.887176
denoised-sigma10,experiments/results/moore_s4000_musa5.1/smoke/quality_script/smoke/quality_script/images/clean_64x64_3ch.png,experiments/results/moore_s4000_musa5.1/smoke/quality_script/smoke/quality_script/images/denoised_base_64x64_3ch_sigma10.png,64,64,3,0.697347,47.673335
noisy-sigma25,experiments/results/moore_s4000_musa5.1/smoke/quality_script/smoke/quality_script/images/clean_64x64_3ch.png,experiments/results/moore_s4000_musa5.1/smoke/quality_script/smoke/quality_script/images/noisy_64x64_3ch_sigma25.png,64,64,3,12.484375,24.944139
denoised-sigma25,experiments/results/moore_s4000_musa5.1/smoke/quality_script/smoke/quality_script/images/clean_64x64_3ch.png,experiments/results/moore_s4000_musa5.1/smoke/quality_script/smoke/quality_script/images/denoised_base_64x64_3ch_sigma25.png,64,64,3,1.319499,42.415254
noisy-sigma50,experiments/results/moore_s4000_musa5.1/smoke/quality_script/smoke/quality_script/images/clean_64x64_3ch.png,experiments/results/moore_s4000_musa5.1/smoke/quality_script/smoke/quality_script/images/noisy_64x64_3ch_sigma50.png,64,64,3,24.841471,18.969507
denoised-sigma50,experiments/results/moore_s4000_musa5.1/smoke/quality_script/smoke/quality_script/images/clean_64x64_3ch.png,experiments/results/moore_s4000_musa5.1/smoke/quality_script/smoke/quality_script/images/denoised_base_64x64_3ch_sigma50.png,64,64,3,2.003662,39.301689
